Week End,Crude Volumes For The Week
11/12/1991,97.4
11/12/1991,71.2
11/19/1991,72.1
11/19/1991,97.9
11/19/1991,70.6
11/26/1991,75.1
11/26/1991,99.3
11/26/1991,69.5
12/03/1991,75.4
12/03/1991,99.2
12/03/1991,70.9
12/10/1991,74.3
12/10/1991,97.5
12/10/1991,71.1
12/17/1991,74.1
12/17/1991,100.4
12/17/1991,68.1
12/24/1991,68.7
12/24/1991,97.0
12/24/1991,67.2
12/31/1991,72.6
12/31/1991,93.1
12/31/1991,67.5
01/07/1992,75.2
01/07/1992,93.6
01/07/1992,67.5
01/14/1992,73.8
01/14/1992,95.7
01/14/1992,76.5
01/21/1992,70.9
01/21/1992,96.9
01/21/1992,75.3
01/28/1992,70.3
01/28/1992,95.1
01/28/1992,76.8
02/04/1992,69.4
02/04/1992,95.9
02/04/1992,76.2
02/11/1992,74.5
02/11/1992,94.4
02/11/1992,75.6
02/18/1992,71.8
02/18/1992,94.1
02/18/1992,77.1
02/25/1992,72.0
02/25/1992,95.1
02/25/1992,73.7
03/03/1992,71.0
03/03/1992,92.3
03/03/1992,76.0
03/10/1992,69.9
03/10/1992,88.8
03/10/1992,76.1
03/17/1992,70.6
03/17/1992,91.6
03/17/1992,71.9
03/24/1992,70.3
03/24/1992,93.7
03/24/1992,69.9
03/31/1992,70.0
03/31/1992,92.7
03/31/1992,69.9
04/07/1992,59.9
04/07/1992,91.0
04/07/1992,67.4
04/14/1992,65.7
04/14/1992,91.8
04/14/1992,73.2
04/21/1992,66.4
04/21/1992,95.6
04/21/1992,64.0
04/28/1992,62.6
04/28/1992,80.0
04/28/1992,72.3
05/05/1992,66.1
05/05/1992,55.2
05/05/1992,75.4
05/12/1992,68.0
05/12/1992,55.2
05/12/1992,76.7
05/19/1992,67.2
05/19/1992,60.8
05/19/1992,77.2
05/26/1992,59.2
05/26/1992,55.9
05/26/1992,77.1
06/02/1992,56.5
06/02/1992,75.0
06/02/1992,74.9
06/09/1992,62.1
06/09/1992,76.4
06/09/1992,67.5
06/16/1992,68.3
06/16/1992,73.9
06/16/1992,68.0
06/23/1992,73.9
06/23/1992,87.2
06/23/1992,69.1
06/30/1992,74.5
06/30/1992,101.7
06/30/1992,75.3
07/07/1992,67.1
07/07/1992,96.5
07/07/1992,82.7
07/14/1992,69.2
07/14/1992,96.0
07/14/1992,85.2
07/21/1992,69.8
07/21/1992,98.2
07/21/1992,90.6
07/28/1992,67.0
07/28/1992,100.9
07/28/1992,88.3
08/04/1992,66.5
08/04/1992,101.5
08/04/1992,83.6
08/11/1992,68.6
08/11/1992,100.8
08/11/1992,81.8
08/18/1992,74.2
08/18/1992,91.1
08/18/1992,85.9
08/25/1992,75.6
08/25/1992,89.7
08/25/1992,87.3
09/01/1992,76.4
09/01/1992,87.0
09/01/1992,86.2
09/08/1992,76.7
09/08/1992,89.2
09/08/1992,79.0
09/15/1992,77.0
09/15/1992,83.2
09/15/1992,75.7
09/22/1992,73.1
09/22/1992,82.9
09/22/1992,75.7
09/29/1992,73.0
09/29/1992,87.3
09/29/1992,78.9
10/06/1992,65.2
10/06/1992,82.9
10/06/1992,80.5
10/13/1992,65.5
10/13/1992,85.2
10/13/1992,82.6
10/20/1992,70.6
10/20/1992,95.3
10/20/1992,83.2
10/27/1992,73.6
10/27/1992,99.3
10/27/1992,81.8
11/03/1992,72.3
11/03/1992,94.9
11/03/1992,82.8
11/10/1992,70.8
11/10/1992,98.7
11/10/1992,79.6
11/17/1992,72.0
11/17/1992,98.1
11/17/1992,80.3
11/24/1992,72.3
11/24/1992,99.6
11/24/1992,77.8
12/01/1992,72.5
12/01/1992,103.0
